level_0,level_1,0
time,time,1.0
time,MO3,-0.7147301803056524
time,MO4,-0.7400916763295204
time,MO6,0.7538390755600003
time,MO12,0.6335217126673646
time,MO14,0.4121228931883221
MO3,time,-0.7147301803056524
MO3,MO3,1.0
MO3,MO4,0.9263172909008761
MO3,MO6,-0.9076591188348079
MO3,MO12,-0.8185445289228066
MO3,MO14,-0.5904970608452211
MO4,time,-0.7400916763295204
MO4,MO3,0.9263172909008761
MO4,MO4,1.0
MO4,MO6,-0.9640512073219161
MO4,MO12,-0.7828509368546382
MO4,MO14,-0.7267262100512635
MO6,time,0.7538390755600003
MO6,MO3,-0.9076591188348079
MO6,MO4,-0.9640512073219161
MO6,MO6,1.0
MO6,MO12,0.6996770571847485
MO6,MO14,0.5388457732411384
MO12,time,0.6335217126673646
MO12,MO3,-0.8185445289228066
MO12,MO4,-0.7828509368546382
MO12,MO6,0.6996770571847485
MO12,MO12,1.0
MO12,MO14,0.5144885785672608
MO14,time,0.4121228931883221
MO14,MO3,-0.5904970608452211
MO14,MO4,-0.7267262100512635
MO14,MO6,0.5388457732411384
MO14,MO12,0.5144885785672608
MO14,MO14,1.0
